Strain (%),Stress (MPa),Time (sec)
9.24,2.106,23
9.26,2.106,23
9.29,2.106,23
9.31,2.114,23
9.34,2.114,23
9.36,2.122,23
9.39,2.122,24
9.41,2.122,24
9.44,2.13,24
9.46,2.13,24
9.49,2.13,24
9.51,2.137,24
9.54,2.145,24
9.56,2.145,24
9.59,2.145,24
9.61,2.153,24
9.64,2.16,24
9.66,2.16,24
9.69,2.16,24
9.71,2.16,24
9.74,2.16,24
9.76,2.168,24
9.78,2.168,25
9.81,2.176,25
9.84,2.176,25
9.86,2.176,25
9.88,2.184,25
9.91,2.184,25
9.94,2.184,25
9.96,2.191,25
9.98,2.191,25
10.01,2.191,25
10.04,2.199,25
10.06,2.199,25
10.08,2.207,25
10.11,2.207,25
10.14,2.207,25
10.16,2.215,25
10.18,2.215,26
10.21,2.215,26
10.24,2.222,26
10.26,2.222,26
10.28,2.23,26
10.31,2.23,26
10.33,2.23,26
10.36,2.238,26
10.39,2.238,26
10.41,2.238,26
10.43,2.238,26
10.46,2.245,26
10.49,2.253,26
10.51,2.253,26
10.53,2.253,26
10.56,2.261,26
10.58,2.261,27
10.61,2.261,27
10.64,2.269,27
10.66,2.269,27
10.68,2.269,27
10.71,2.269,27
10.73,2.276,27
10.76,2.276,27
10.78,2.276,27
10.8,2.284,27
10.83,2.284,27
10.86,2.292,27
10.88,2.292,27
10.91,2.299,27
10.93,2.299,27
10.96,2.299,27
10.98,2.307,28
11.01,2.307,28
11.03,2.307,28
11.06,2.315,28
11.08,2.315,28
11.11,2.315,28
11.13,2.323,28
11.16,2.323,28
11.18,2.323,28
11.21,2.33,28
11.23,2.33,28
11.25,2.33,28
11.28,2.338,28
11.31,2.338,28
11.33,2.338,28
11.35,2.346,28
11.38,2.346,29
11.41,2.346,29
11.43,2.353,29
11.45,2.353,29
11.48,2.361,29
11.51,2.361,29
11.53,2.361,29
11.55,2.369,29
11.58,2.369,29
11.61,2.369,29
11.63,2.369,29
11.65,2.377,29
11.68,2.377,29
11.7,2.377,29
11.73,2.384,29
11.75,2.384,29
11.78,2.384,30
11.8,2.384,30
11.83,2.392,30
11.85,2.392,30
11.88,2.4,30
11.9,2.4,30
11.93,2.4,30
11.95,2.4,30
11.98,2.407,30
12,2.407,30
12.03,2.415,30
12.05,2.415,30
12.08,2.415,30
12.1,2.423,30
12.13,2.423,30
12.15,2.423,30
12.18,2.431,31
12.2,2.431,31
12.23,2.431,31
12.25,2.431,31
12.27,2.431,31
12.3,2.438,31
12.33,2.438,31
12.35,2.446,31
12.37,2.446,31
12.4,2.454,31
12.43,2.454,31
12.45,2.454,31
12.47,2.454,31
12.5,2.454,31
12.53,2.461,31
12.55,2.461,31
12.58,2.469,32
12.6,2.469,32
12.63,2.477,32
12.65,2.477,32
12.67,2.477,32
12.7,2.477,32
12.73,2.477,32
12.75,2.485,32
12.78,2.485,32
12.8,2.485,32
12.82,2.492,32
12.85,2.492,32
12.87,2.492,32
12.9,2.5,32
12.92,2.5,32
12.95,2.5,32
12.97,2.508,33
13,2.508,33
13.02,2.508,33
13.05,2.508,33
13.07,2.508,33
13.1,2.508,33
13.12,2.515,33
13.15,2.515,33
13.17,2.523,33
13.2,2.523,33
13.22,2.531,33
13.25,2.531,33
13.27,2.531,33
13.29,2.539,33
13.32,2.539,33
13.35,2.546,33
13.37,2.554,34
13.4,2.554,34
13.42,2.546,34
13.45,2.554,34
13.47,2.554,34
13.5,2.562,34
13.52,2.562,34
13.55,2.562,34
13.57,2.562,34
13.6,2.562,34
13.62,2.569,34
13.65,2.569,34
13.67,2.577,34
13.7,2.577,34
13.72,2.577,34
13.75,2.577,34
13.77,2.585,35
13.8,2.585,35
13.82,2.593,35
13.84,2.593,35
13.87,2.593,35
13.9,2.593,35
13.92,2.6,35
13.94,2.6,35
13.97,2.6,35
14,2.6,35
14.02,2.608,35
14.04,2.608,35
14.07,2.608,35
14.1,2.616,35
14.12,2.616,35
14.14,2.616,35
14.17,2.623,36
14.2,2.623,36
14.22,2.623,36
14.24,2.623,36
14.27,2.631,36
14.29,2.623,36
14.32,2.631,36
14.34,2.631,36
14.37,2.631,36
14.39,2.639,36
14.42,2.639,36
14.44,2.647,36
14.47,2.647,36
14.49,2.647,36
14.52,2.647,36
14.54,2.654,36
14.57,2.654,37
14.59,2.654,37
14.62,2.662,37
14.64,2.662,37
14.67,2.662,37
14.69,2.662,37
14.72,2.67,37
14.74,2.67,37
14.76,2.67,37
14.79,2.67,37
14.82,2.67,37
14.84,2.677,37
14.86,2.677,37
14.89,2.685,37
14.92,2.685,37
14.94,2.685,37
14.96,2.685,38
14.99,2.685,38
15.02,2.685,38
15.04,2.693,38
15.06,2.693,38
15.09,2.693,38
15.12,2.701,38
15.14,2.701,38
15.16,2.701,38
15.19,2.708,38
15.22,2.708,38
15.24,2.708,38
15.27,2.708,38
15.29,2.716,38
15.31,2.716,38
15.34,2.716,38
15.36,2.716,39
15.39,2.716,39
15.41,2.724,39
15.44,2.724,39
15.47,2.724,39
15.49,2.724,39
15.51,2.731,39
15.54,2.731,39
15.56,2.731,39
15.59,2.731,39
15.61,2.739,39
15.64,2.739,39
15.67,2.739,39
15.69,2.739,39
15.72,2.747,39
15.74,2.747,39
15.76,2.747,40
15.79,2.747,40
15.81,2.755,40
15.84,2.755,40
15.86,2.755,40
15.89,2.755,40
15.91,2.762,40
15.94,2.762,40
15.96,2.762,40
15.99,2.762,40
16.01,2.77,40
16.04,2.77,40
16.06,2.778,40
16.09,2.778,40
16.11,2.778,40
16.14,2.778,40
16.16,2.778,41
16.19,2.785,41
16.21,2.785,41
16.24,2.785,41
16.26,2.785,41
16.28,2.785,41
16.31,2.785,41
16.33,2.793,41
16.36,2.793,41
16.39,2.793,41
16.41,2.801,41
16.43,2.801,41
16.46,2.801,41
16.48,2.809,41
16.51,2.809,41
16.53,2.809,41
16.56,2.809,42
16.59,2.809,42
16.61,2.809,42
16.63,2.816,42
16.66,2.816,42
16.68,2.816,42
16.71,2.816,42
16.73,2.824,42
16.76,2.824,42
16.78,2.824,42
16.81,2.832,42
16.83,2.832,42
16.86,2.832,42
16.88,2.832,42
16.91,2.84,42
16.93,2.832,42
16.96,2.84,43
16.98,2.84,43
17.01,2.84,43
17.03,2.84,43
17.06,2.84,43
17.08,2.847,43
17.11,2.847,43
17.13,2.847,43
17.16,2.847,43
17.18,2.847,43
17.21,2.855,43
17.23,2.855,43
17.25,2.855,43
17.28,2.855,43
17.31,2.863,43
17.33,2.863,43
17.35,2.863,44
17.38,2.863,44
17.41,2.863,44
