qq,RPI-XN-HDPE-Q i,HDPE-128,RPI-XN-HDPE-128,RPI-XN-HDPE-130,,q (A^-1),RPI-XN-4-71 in Co,RPI-XN-4-73-1280C,RPI-XN-4-73-1285C,RPI-XN-4-73-1290C,RPI-XN-4-73-1295C,RPI-XN-4-73-1300C,RPI-XN-4-73-1305C
5.16E-02,1.18E+00,1.15E+00,1.29E+00,1.49E+00,,5.16E-02,1.32E+01,15.9,17.5,17.1,17,6.61,14.7
5.23E-02,1.12E+00,1.11E+00,1.22E+00,1.51E+00,,5.23E-02,1.27E+01,15.4,17.1,16.5,16.4,6.48,14.3
5.29E-02,1.08E+00,1.08E+00,1.18E+00,1.40E+00,,5.29E-02,1.23E+01,14.9,16.7,16,16.1,6.14,13.8
5.36E-02,9.62E-01,9.74E-01,1.08E+00,1.38E+00,,5.36E-02,1.23E+01,14.3,16.2,15.4,15.5,6.02,13.5
5.43E-02,9.82E-01,9.46E-01,1.03E+00,1.33E+00,,5.43E-02,1.16E+01,13.8,15.7,15.1,15.1,5.86,12.9
5.50E-02,9.42E-01,9.14E-01,1.02E+00,1.32E+00,,5.50E-02,1.14E+01,13.5,15.2,14.7,14.8,5.67,12.5
5.57E-02,8.64E-01,8.23E-01,1.03E+00,1.24E+00,,5.57E-02,1.10E+01,12.9,14.6,14.1,14,5.49,12.2
5.64E-02,8.65E-01,8.07E-01,9.66E-01,1.17E+00,,5.64E-02,1.07E+01,12.6,14.1,13.8,13.8,5.29,11.8
5.71E-02,7.80E-01,8.19E-01,9.17E-01,1.16E+00,,5.71E-02,1.05E+01,12.1,13.8,13.3,13.2,5.19,11.4
5.78E-02,7.80E-01,7.43E-01,9.15E-01,1.16E+00,,5.78E-02,1.01E+01,11.8,13.3,12.9,12.9,5.04,11.2
5.85E-02,7.37E-01,7.06E-01,8.62E-01,1.05E+00,,5.85E-02,9.81E+00,11.4,12.8,12.5,12.5,4.87,10.5
5.91E-02,6.61E-01,6.88E-01,8.43E-01,1.03E+00,,5.91E-02,9.62E+00,10.9,12.5,11.9,12,4.7,10.3
5.98E-02,6.62E-01,6.96E-01,7.53E-01,9.70E-01,,5.98E-02,9.09E+00,10.6,11.9,11.6,11.6,4.53,10.1
6.05E-02,6.58E-01,6.41E-01,7.28E-01,9.28E-01,,6.05E-02,8.92E+00,10,11.6,11.3,11.1,4.34,9.46
6.12E-02,5.90E-01,6.05E-01,7.63E-01,8.85E-01,,6.12E-02,8.53E+00,9.76,11.1,10.8,10.7,4.11,9.12
6.19E-02,5.54E-01,6.19E-01,7.08E-01,8.57E-01,,6.19E-02,8.37E+00,9.37,10.7,10.4,10.3,4.02,8.88
6.26E-02,5.17E-01,5.81E-01,6.71E-01,7.73E-01,,6.26E-02,7.87E+00,8.89,10.3,9.98,9.86,3.82,8.41
6.33E-02,5.04E-01,5.54E-01,6.31E-01,8.38E-01,,6.33E-02,7.65E+00,8.6,9.87,9.49,9.39,3.64,8.1
6.40E-02,4.85E-01,5.37E-01,6.46E-01,7.55E-01,,6.40E-02,7.30E+00,8.2,9.58,9.06,9.16,3.5,7.92
6.46E-02,4.50E-01,5.30E-01,5.77E-01,7.77E-01,,6.46E-02,7.03E+00,7.82,8.97,8.71,8.61,3.34,7.44
6.53E-02,4.47E-01,5.02E-01,5.58E-01,7.23E-01,,6.53E-02,6.71E+00,7.58,8.65,8.4,8.24,3.15,7.16
6.60E-02,4.10E-01,5.03E-01,5.61E-01,6.50E-01,,6.60E-02,6.53E+00,7.25,8.19,7.99,7.91,3.1,6.77
6.67E-02,4.11E-01,4.60E-01,5.34E-01,6.44E-01,,6.67E-02,6.22E+00,6.79,7.96,7.62,7.55,2.96,6.54
6.74E-02,3.87E-01,4.22E-01,5.24E-01,6.24E-01,,6.74E-02,5.96E+00,6.71,7.51,7.19,7.14,2.81,6.12
6.81E-02,3.66E-01,4.24E-01,4.94E-01,6.05E-01,,6.81E-02,5.80E+00,6.33,7.26,6.97,6.94,2.64,5.96
6.88E-02,3.43E-01,4.12E-01,4.82E-01,5.52E-01,,6.88E-02,5.47E+00,5.98,6.92,6.56,6.56,2.5,5.66
6.95E-02,3.06E-01,4.02E-01,4.56E-01,5.94E-01,,6.95E-02,5.19E+00,5.76,6.58,6.34,6.29,2.48,5.36
7.02E-02,2.99E-01,4.08E-01,4.68E-01,5.58E-01,,7.02E-02,5.00E+00,5.45,6.26,6.11,6.02,2.4,5.12
7.08E-02,2.94E-01,3.67E-01,4.28E-01,5.31E-01,,7.08E-02,4.77E+00,5.29,5.98,5.8,5.78,2.26,4.93
7.15E-02,2.86E-01,3.47E-01,4.04E-01,5.00E-01,,7.15E-02,4.62E+00,5.01,5.76,5.65,5.54,2.15,4.76
7.22E-02,2.87E-01,3.41E-01,3.91E-01,5.21E-01,,7.22E-02,4.47E+00,4.86,5.64,5.3,5.27,2.04,4.57
7.29E-02,2.70E-01,3.29E-01,3.90E-01,4.53E-01,,7.29E-02,4.16E+00,4.58,5.33,5.08,5.11,1.99,4.44
7.36E-02,2.60E-01,3.34E-01,3.73E-01,4.65E-01,,7.36E-02,4.07E+00,4.47,5.09,5.01,4.83,1.92,4.22
7.43E-02,2.60E-01,2.89E-01,3.40E-01,4.52E-01,,7.43E-02,3.98E+00,4.34,4.92,4.75,4.78,1.81,4.05
7.50E-02,2.41E-01,2.85E-01,3.25E-01,4.38E-01,,7.50E-02,3.86E+00,4.24,4.78,4.53,4.66,1.76,3.91
